player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Anthony Caminiti,St Kilda,Gold Coast Suns,-26,Round 18,42,71,53,45,34,46,39,44,64,38,46,0,56.333333333333336,49.8,47.42857142857143,49.46153846153846,1.16,51.43
Anthony Caminiti,St Kilda,North Melbourne,8,Round 19,76,42,71,53,45,34,46,39,44,64,38,1,55.333333333333336,49,47.142857142857146,48.92857142857143,14.84,70.83
Anthony Caminiti,St Kilda,Hawthorn,29,Round 20,54,76,42,71,53,45,34,46,39,44,64,0,63,57.4,52.42857142857143,50.733333333333334,13.32,73.08
Anthony Scott,Western Bulldogs,Gold Coast Suns,-7,Round 11,48,64,58,58,51,37,44,46,55,48,63,0,60,53.6,51.142857142857146,52.4,-7.28,40.54
Anthony Scott,Western Bulldogs,Geelong Cats,-22,Round 12,47,48,64,58,58,51,37,44,46,55,48,1,56.666666666666664,55.8,51.42857142857143,52,5.44,55.56
Anthony Scott,Western Bulldogs,Port Adelaide,-22,Round 13,47,47,48,64,58,58,51,37,44,46,55,1,53,55,51.857142857142854,51.583333333333336,-3.61,41.18
Anthony Scott,Western Bulldogs,North Melbourne,21,Round 14,43,47,47,48,64,58,58,51,37,44,46,0,47.333333333333336,52.8,53.285714285714285,51.23076923076923,9.23,71.05
Anthony Scott,Western Bulldogs,Fremantle,29,Round 16,39,43,47,47,48,64,58,58,51,37,44,1,45.666666666666664,49.8,52.142857142857146,50.642857142857146,1.12,51.72
Anthony Scott,Western Bulldogs,Sydney Swans,-2,Round 18,47,39,43,47,47,48,64,58,58,51,37,0,43,44.8,49.42857142857143,49.86666666666667,1.15,50
Anthony Scott,Western Bulldogs,Essendon,41,Round 19,62,47,39,43,47,47,48,64,58,58,51,0,43,44.6,47.857142857142854,49.6875,0.35,55.88
Anthony Scott,Western Bulldogs,GWS Giants,-5,Round 20,88,62,47,39,43,47,47,48,64,58,58,1,49.333333333333336,47.6,47.57142857142857,50.411764705882355,-3.81,46.67
Archie Perkins,Essendon,West Coast Eagles,50,Round 11,83,79,77,63,54,77,64,66,73,34,104,0,73,70,68.57142857142857,69.1,7.7,57.58
Archie Perkins,Essendon,North Melbourne,6,Round 12,87,83,79,77,63,54,77,64,66,73,34,1,79.66666666666667,71.2,71,70.36363636363636,7.02,65
Archie Perkins,Essendon,Carlton,34,Round 13,72,87,83,79,77,63,54,77,64,66,73,0,83,77.8,74.28571428571429,71.75,-3.2,37.5
Archie Perkins,Essendon,Fremantle,-32,Round 15,57,72,87,83,79,77,63,54,77,64,66,0,80.66666666666667,79.6,73.57142857142857,71.76923076923077,0.22,50
Archie Perkins,Essendon,Port Adelaide,-4,Round 16,51,57,72,87,83,79,77,63,54,77,64,1,72,75.6,74,70.71428571428571,0.17,45.45
Archie Perkins,Essendon,Adelaide Crows,18,Round 17,103,51,57,72,87,83,79,77,63,54,77,1,60,70,72.28571428571429,69.4,-4.31,32.26
Archie Perkins,Essendon,Geelong Cats,-77,Round 18,71,103,51,57,72,87,83,79,77,63,54,0,70.33333333333333,74,76,71.5,-4.08,48.48
Archie Perkins,Essendon,Western Bulldogs,-41,Round 19,27,71,103,51,57,72,87,83,79,77,63,1,75,70.8,74.85714285714286,71.47058823529412,-0.34,53.85
Archie Perkins,Essendon,Sydney Swans,-2,Round 20,57,27,71,103,51,57,72,87,83,79,77,1,67,61.8,66.85714285714286,69,2.76,48.39
Arthur Jones,Western Bulldogs,Port Adelaide,-22,Round 13,21,26,46,24,68,49,50,33,32,35,18,1,32,42.6,42.285714285714285,38.1,3.02,51.85
Ash Johnson,Collingwood,Melbourne,-4,Round 13,10,54,35,32,70,38,33,56,53,72,60,0,40.333333333333336,45.8,45.42857142857143,50.3,-3.2,48.15
Ash Johnson,Collingwood,Adelaide Crows,2,Round 15,29,10,54,35,32,70,38,33,56,53,72,1,33,40.2,38.857142857142854,46.63636363636363,-10.62,28
Ash Johnson,Collingwood,Western Bulldogs,12,Round 17,61,29,10,54,35,32,70,38,33,56,53,0,31,32,38.285714285714285,45.166666666666664,0.03,44.83
Ash Johnson,Collingwood,Fremantle,46,Round 18,51,61,29,10,54,35,32,70,38,33,56,1,33.333333333333336,37.8,41.57142857142857,46.38461538461539,-1.15,44.83
Bailey Banfield,Fremantle,Collingwood,-46,Round 18,58,23,69,89,60,76,24,44,58,54,66,0,60.333333333333336,63.4,55,56.3,0.36,44.44
Bailey Dale,Western Bulldogs,Gold Coast Suns,-7,Round 11,81,130,106,60,89,52,46,115,90,62,54,0,98.66666666666667,87.4,85.42857142857143,80.4,-1.19,50
Bailey Dale,Western Bulldogs,Geelong Cats,-22,Round 12,118,81,130,106,60,89,52,46,115,90,62,1,105.66666666666667,93.2,80.57142857142857,80.45454545454545,-6.95,40
Bailey Dale,Western Bulldogs,Port Adelaide,-22,Round 13,99,118,81,130,106,60,89,52,46,115,90,1,109.66666666666667,99,90.85714285714286,83.58333333333333,1.64,58.33
Bailey Dale,Western Bulldogs,North Melbourne,21,Round 14,86,99,118,81,130,106,60,89,52,46,115,0,99.33333333333333,106.8,97.57142857142857,84.76923076923077,10.14,61.11
Bailey Dale,Western Bulldogs,Fremantle,29,Round 16,96,86,99,118,81,130,106,60,89,52,46,1,101,102.8,97.14285714285714,84.85714285714286,-6.85,35.14
Bailey Dale,Western Bulldogs,Collingwood,-12,Round 17,78,96,86,99,118,81,130,106,60,89,52,1,93.66666666666667,96,102.28571428571429,85.6,-3.65,36.11
Bailey Dale,Western Bulldogs,Sydney Swans,-2,Round 18,68,78,96,86,99,118,81,130,106,60,89,0,86.66666666666667,95.4,98.28571428571429,85.125,-4.1,40
Bailey Dale,Western Bulldogs,Essendon,41,Round 19,79,68,78,96,86,99,118,81,130,106,60,0,80.66666666666667,85.4,89.42857142857143,84.11764705882354,6.16,61.29
Bailey Dale,Western Bulldogs,GWS Giants,-5,Round 20,137,79,68,78,96,86,99,118,81,130,106,1,75,81.4,89.14285714285714,83.83333333333333,-4.29,51.52
